Family,Subfamily,Tribe Radlk.,Type tribes,Group (Buerki et al.),New_genus,Study,Acevedo-Rodriguez et al. 2017,Acevedo-Rodriguez et al. 2010 (Kub),Buerki et al.  2020,Phylo_order,Included_Angio353,Genus,Authority,Distribution,N species,Species,BankID,MWC,silicaID,LCD,MSB,Collector,Collector No,Voucher No,Museum ID
Aceraceae,,Not included,,Hippocastanoideae,,Buerki et al. 2009,,Acereae,Acereae,2,1,Acer,L.,N temperate & tropical mountains,111,campestre,8163,11510,,,,Fay,407,"Fay, M.F. et al., MFF407",K
Hippocastanaceae,,Not included,,Hippocastanoideae,,Buerki et al. 2009,,Hippocastaneae,Hippocastaneae,3,1,Aesculus,L.,"SE Europe, India, E Asia and N America",13,hippocastanum,36412,35956,,1969-10423,,Chase,35956,Outstanding,K
Sapindaceae,Sapindoideae,Not included,,Not included,NS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3310190/,,Not in treatment,Sapindeae,10,1,Alatococcus,Acev.-Rodr.,Brazil,1,siqueirae,,,,,,Folli,1761,Folli 1761,K
Sapindaceae,Sapindoideae,Nephelieae,,Cupania,,Buerki et al. 2009,,Incertae Sedis,Cupanieae,21,1,Alectryon,Gaertn.,"E Malesia, Australia, New Zealand, New Caledonia,
to Hawaii",30,carinatum,70369,44753,,,,Munzinger,6743,Munzinger 6743,NOU
Sapindaceae,Sapindoideae,Not included,,Not included,NP,Acevedo-Rodriguez et al. 2017,Thouinieae,Incertae Sedis,Thouinieae,18,1,Allophylastrum,Acev.-Rodr.,Brazil and Guyana,1,frutescens,,,,,,Lima,812,Lima 812,K
Sapindaceae,Sapindoideae,Paullinieae,,Paullinia,,Buerki et al. 2011,Thouinieae,Paullinieae,Thouinieae,18,1,Allophylus,L.,Pantropical,250,sp.,66869,44313,,,,Buerki,164,Buerki 164,"G, K, MO, P, SUVA, WAG"
Sapindaceae,Sapindoideae,Cupanieae,,Schleichera,,Buerki et al. 2009,,Incertae Sedis,Schleicheraeae,8,1,Amesiodendron,Hu,"China, Indo-China and Malesia",1,chinense,,,,,,Buerki,117,SB117,BM
Sapindaceae,Sapindoideae,Cupanieae,,Not included,NP,"Parmentier et al. 2013 (PLoS ONE 8 (4), E54921 (2013))",,Incertae Sedis,Nephelieae,9,1,Aporrhiza,Radlk,Tropical Africa,6,paniculata,,,,,,Swnowden,1669,Swnowden1669,BM
Sapindaceae,Dodonaeoideae,Harpullieae,,Dodonaea,,Buerki et al. 2009,,Dodonaeaeae,Dodonaeaeae,5,1,Arfeuillea,Pierre ex Radlk,SE Asia,1,arborescens,2013,2122,,,,Chase,2122,Chase 2122,K
Sapindaceae,Sapindoideae,Cupanieae,,Cupania,,Buerki et al. 2009,,Incertae Sedis,Cupanieae,21,1,Arytera,Blume,Indo-Malesia to E Australia and Pacific islands,17,litoralis,2014,2123,,,,Chase,2123,Chase 2123,K
