"Clade","This_study","Buerki_et_al_2009","Radlkofer","N_genera","Genera","N_species","Distribution"
"1","Xanthoceras","Xanthoceroideae (1)","Harpullieae (1)","1","Xanthoceras (1)","1","N-NE China and Korea"
"2","Acereae","Hippocastanoideae (2)","Not included (2)","2","Acer (111), Dipteronia (2)","113","N temperate & tropical mountains, China"
"3","Hippocastaneae","Hippocastanoideae (2), Not included (1)","Not included (3)","3","Aesculus (13), Billia (2), Handeliodendron (1)","16","SE Europe, India, E Asia and N America, S Mexico to Tropical South America, China (deciduous forests)"
"4","Doratoxyleae","Doratoxylon (5), Not included (2)","Doratoxyleae (6), Harpullieae (1)","7","Doratoxylon (5), Exothea (3), Filicium (3), Ganophyllum (1), Hippobromus (1), Hypelate (1), Zanha (4)","18","Madagascar and Mascarenes Islands, West Indies, Central America and Florida, E Africa, Madagascar and SE India, W and C Africa, Andamans and Nicobars to NE Australia and Solomon Islands to Malesia, South Africa, West Indies and Florida, Tropical Africa and Madagascar"
"5","Dodonaeaeae","Dodonaea (12), Not included (4), Macphersonia (1)","Harpullieae (5), Dodonaeeae (4), Cossinieae (2), Cupanieae (2), Doratoxyleae (2), Koelreuterieae (1), Not included (1)","17","Arfeuillea (1), Averrhoidium (2), Boniodendron (2), Conchopetalum (2), Cossinia (4), Diplokeleba (2), Diplopeltis (5), Distichostemon (6), Dodonaea (65), Euchorium (1), Euphorianthus (1), Harpullia (26), Hirania (1), Llagunoa (3), Loxodiscus (1), Magonia (1), Majidea (3)","126","SE Asia, China and N Vietnam, Madagascar, Mascarenes, New Caledonia, E Australia, Fiji, South America, NW Australia, Australia, Mainly in Australia, Malesia, New Guinea, Carribean and
Madagascar, Cuba, E Malesia, India, SE China, Malesia to Australia, New Caledonia and
Pacific Islands, Somalia, Tropical South America, New Caledonia, Tropical Africa and Madagascar"
"6","Delavayaeae","Delavaya (2)","Harpullieae (2)","2","Delavaya (1), Ungnadia (1)","2","SW China and N Vietnam, S North America"
"7","Koelreuterieae","Koelreuteria (2), Not included (1)","Koelreuterieae (3)","3","Erythrophysa (9), Koelreuteria (3), Stocksia (1)","13","Africa and Madagascar, South China, Japan, East Iran, Afganistan"
"8","Schleicheraeae","Not included (3), Schleichera (3)","Cupanieae (5), Schleichereae (1)","6","Amesiodendron (1), Paranephelium (4), Pavieasia (3), Phyllotrichum (1), Schleichera (1), Sisyrolepis (1)","11","China, Indo-China and Malesia, SE Asia and W Malesia, S China, N Vietnam, SE Asia, Tropical SE Asia to Indo-China and Malesia, Thailand"
"9","Nephelieae","Litchi (12), Not included (5)","Nephelieae (8), Lepisantheae (5), Cupanieae (4)","17","Aporrhiza (6), Blighia (4), Chytranthus (30), Cubilia (1), Dimocarpus (4), Euphoria (1), Glenniea (8), Haplocoelopsis (1), Laccodiscus (4), Litchi (1), Nephelium (22), Otonephelium (1), Pancovia (13), Placodiscus (15), Pometia (2), Radlkofera (1), Xerospermum (2)","116","Tropical Africa, Africa, Malesia, S and SE Asia and Australia, , Tropical Africa, Madagascar, Sri Lanka, Malesia, East Africa, W Africa, Tropical China to W Malesia, SE Asia and Malesia, India, Tropical West Africa, Malesia and Pacific Islands, Indochinese Peninsula and Malesia"
"10","Sapindeae","Litchi (7), Not included (5)","Sapindeae (6), Cupanieae (2), Lepisantheae (2), Melicocceae (1), Not included (1)","12","Alatococcus (1), Atalaya (12), Deinbollia (40), Eriocoelum (10), Hornea (1), Lepisanthes (24), Pseudima (3), Sapindus (13), Thouinidium (7), Toulicia (14), Tristira (1), Zollingeria (3)","129","Brazil, Australia, New Guinea and S Africa, Tropical Africa and Madagascar, Tropical Africa, Mauritius, Tropical Africa, Madagascar, S-SE Asia, Malesia and NW Australia, South America, Tropical to warm temperate regions, Tropical America, Malesia, SE Asia and Malesia, Mexico and West Indies"
